id,de,fr,it,en,website,categoryIds,regionId,from,to,total,total_source,environment,environment_source,energy,energy_source,environment;energy,environment_energy_source
2,Spezialfinanzierung Luftverkehr,Financement spécial du trafic aérien,Fondo speciale per il traffico aereo,Special fund for air traffic,https://www.bazl.admin.ch/bazl/de/home/fachleute/regulation-und-grundlagen/spezialfinanzierung-luftverkehr--wofuer-es-gelder-gibt.html,1,0,1.7,3.8,7000000,"2015, Sektion Umwelt BAZL",7000000,,0,,0,
3,Innosuisse Projekt- und Programmförderung,Innosuisse Encouragement des projets et des programmes,Innosuisse Promozione di grogetti e programmi,Innosuisse Project and Programme Funding,https://www.innosuisse.ch/inno/de/home/start-your-innovation-project.html,0,0,1.5,3,186500000,"2016, Tätigkeitsbericht 2016. (2017). (p. 7). KTI.",11577445,"2016, Forschungskonzept Umwelt für die Jahre 2021–2024. (2017). (p. 13). BAFU.",38370000,"2014, Energieforschungsstatistik 2014. (2015). (p. 21). BFE.",0,
4,SNF Programme,FNS Programmes,FNS Programmi,SNSF Programmes,http://www.snf.ch/de/foerderung/programme/Seiten/default.aspx,0,0,0.75,1.5,197300000,"2016, Jahresbericht/Profil 2016-2017. (2017). (p. 33). SNF.",33013560.5,"2016, Forschungskonzept Umwelt für die Jahre 2021–2024. (2017). (p. 13). BAFU.",5000000,"2016, Botschaft zum Aktionsplan «Koordinierte Energieforschung Schweiz» – Massnahmen in den Jahren 2013–2016. (2012). (p. 9046). Bundesrat.",0,
5,Umwelttechnologieförderung: Flankierende Massnahmen,Promotion des technologies environnementales,Promozione delle tecnologie ambientali,Environmental technology promotion,https://www.bafu.admin.ch/bafu/de/home/themen/bildung/innovation/umwelttechnologiefoerderung.html,1,0,4,5.7,1276818,"2016, Umwelttechnologieförderung 2012–2016. (2018). (p. 11). BAFU.",1276818,,0,,0,
6,Switzerland Global Entreprise,Switzerland Global Entreprise,Switzerland Global Entreprise,Switzerland Global Entreprise,https://www.s-ge.com/de,0,0,4.8,5.8,22400000,"2016, Botschaft über die Standortförderung 2016-2019 (15.019). (2015). (p. 2467). Bundesverwaltung.",0,,0,,600000,"2016, S-GE Geschäftsbericht 2016. (2017). (p. 7). SWITZERLAND GLOBAL ENTERPRISE."
7,"Pilot-, Demonstrations- und Leuchtturmprogramm BFE","Programme pilote, de démonstration et programme phare OFEN","Programma pilota, di dimostrazione e Programma faro UFE","Pilot, demonstration and flagships programme SFOE",http://www.bfe.admin.ch/cleantech/06561/index.html?lang=de,2,0,2.8,4,18168877,"2016, Staatsrechnung 2016 2A. (2017). (p. 179). EFV.",0,,18168877,,0,
8,Innovation in SMEs,Innovation in SMEs,Innovation in SMEs,Innovation in SMEs,https://ec.europa.eu/programmes/horizon2020/en/h2020-section/innovation-smes,0,1,3,6,105600000,"Average 2014-2020, Regulation (EU) No 1291/2013. (2013). (p. 173). Council of the European Union.",13750000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",13750000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",0,
9,SNF Projektförderung,FNS Encouragement de projets,FNS Finanziamento dei progetti,SNSF Project funding,http://www.snf.ch/de/derSnf/auswahlverfahren/projektfoerderung/Seiten/default.aspx,0,0,0,1,423933000,"2016, Jahresbericht/Profil 2016-2017. (2017). (p. 33). SNF.",58327971,"2016, Forschungskonzept Umwelt für die Jahre 2021–2024. (2017). (p. 13). BAFU.",17790000,"2014, Energieforschungsstatistik 2014. (2015). (p. 19). BFE.",0,
10,EUREKA + EUROSTARS,EUREKA + EUROSTARS,EUREKA + EUROSTARS,EUREKA + EUROSTARS,https://www.eurostars-eureka.eu/,0,1,1,4.4,1013040000,"2016, Annual Report 2016. (2017). (p. 13-22). EUREKA.",42000000,,61080000,,0,
11,Energieforschung BFE,Recherche énergétique OFEN,Ricerca energetica UFE,Energy research SFOE,http://www.bfe.admin.ch/themen/00519/index.html?lang=de,2,0,0.9,2.6,18349568,"2016, Staatsrechnung 2016 2A. (2017). (p. 177). EFV.",0,,18349568,,0,
12,Marie Sklodowska-Curie actions,Marie Sklodowska-Curie actions,Marie Sklodowska-Curie actions,Marie Sklodowska-Curie actions,https://ec.europa.eu/research/mariecurieactions/,0,1,0,0.9,1056360000,"Average 2014-2020, Regulation (EU) No 1291/2013. (2013). (p. 173). Council of the European Union.",140000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",125000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",0,
13,Aktionsplan Holz,Plan d’action bois,Piano d’azione Legno,Action plan wood,https://www.bafu.admin.ch/bafu/de/home/themen/wald/fachinformationen/strategien-und-massnahmen-des-bundes/aktionsplan-holz.html,1,0,2,4.5,4000000,"2016, Ressourcenpolitik Holz. (2017). (p. 29). BAFU, BFE, SECO.",4000000,,0,,0,
14,Umwelttechnologieförderung: Pilot-Demonstration,Promotion des technologies environnementales,Promozione delle tecnologie ambientali,Environmental technology promotion,https://www.bafu.admin.ch/bafu/de/home/themen/bildung/innovation/umwelttechnologiefoerderung.html,1,0,3,4,3044860,"2016, Umwelttechnologieförderung 2012–2016. (2018). (p. 11). BAFU.",3044860,,0,,0,
15,COST,COST,COST,COST,http://www.cost.eu/,0,1,0.2,1.8,51428570.4,"2015, Annual Reports 2015. (2016). (p. 28). COST.",19563600,,3616800,,0,
16,BLW Förderung von Qualität und Nachhaltigkeit,OFAG Promotion de la qualité et de la durabilité,UFAG Promozione della qualità e della sostenibilità,FOAG Promotion of quality and sustainability,https://www.blw.admin.ch/blw/de/home/instrumente/qualitaets--und-absatzfoerderung/foerderung-von-qualitaet-und-nachhaltigkeit.html,1,0,3.6,5.3,2252893,"2016, Unterstützte QuNaV-Projekte 2016. (2017). (pp. 1-3). BLW.",926793,"2016, Unterstützte QuNaV-Projekte 2016. (2017). (pp. 1-3). BLW.",0,,0,
17,Leadership in enabling and industrial technologies LEIT,Leadership in enabling and industrial technologies LEIT,Leadership in enabling and industrial technologies LEIT,Leadership in enabling and industrial technologies LEIT,http://ec.europa.eu/programmes/horizon2020/en/h2020-section/leadership-enabling-and-industrial-technologies,0,1,2.6,4.4,2324040000,"Average 2014-2020, Regulation (EU) No 1291/2013. (2013). (p. 173). Council of the European Union.",400000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",440000000,"2017, Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute. (2017). . BFE.",0,
18,Wald- und Holzforschungsfonds,Fonds pour les recherches forestières et l'utilisation du bois,Fondo per la ricerca forestale e del legno,Fund for forest and wood research,https://www.bafu.admin.ch/bafu/de/home/themen/wald/fachinformationen/bildung--forschung-und-wissenstransfer/wald--und-holzforschungsfonds.html,1,0,1.9,3.1,1174831.64,"2016, Jahresbericht Wald und Holzforschungsfonds (2016). (p. 3). BAFU.",1174831.64,,0,,0,
19,Innosuisse Start-up und Unternehmertum & WTT-Support,Innosuisse Start-up et entrepreneuriat & Soutien TST,Innosuisse Start-up e imprenditoria & Promozione TST,Innosuisse Start-up and Entrepreneurship & KTT Support,https://www.innosuisse.ch/inno/de/home/start-and-grow-your-business.html,0,0,4.5,5.5,13300000,"2016, Tätigkeitsbericht 2016. (2017). (p. 7). KTI.",0,,0,,0,
20,LIFE+,LIFE+,LIFE+,LIFE+,http://ec.europa.eu/environment/life/,1,1,1.5,5,592560000,"Average 2014-2020, Regulation (EU) No 1293/2013. (2013). (p. 186). Council of the European Union.",592560000,,0,,0,
21,REPIC,REPIC,REPIC,REPIC,http://www.repic.ch/repic-de/,"1,2",0,5.2,6,1200000,"2016, REPIC Jahresbericht 2016. (2017). NET Nowak Energie & Technologie AG.",0,,0,,1200000,
